----------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------
 LID                                      LID(String)      Filename         Verno                                 Description    Category   Attribute
 160                          NVRAM_EF_CB_CH_INFO_LID          PACK           LID                                      (null)      0x0000      0x0280
 147                     NVRAM_EF_TCM_PDP_PROFILE_LID          PACK           LID                                      (null)      0x0000      0x0200
 148                            NVRAM_EF_CFU_FLAG_LID          PACK           LID                                      (null)      0x0000      0x0200
 149                  NVRAM_EF_MM_EQPLMN_LOCIGPRS_LID          PACK           LID                                      (null)      0x0000      0x0200
 151                         NVRAM_EF_ALS_LINE_ID_LID          PACK           LID                                      (null)      0x0100      0x0200
 152                               NVRAM_EF_MSCAP_LID          PACK           LID                                      (null)      0x0100      0x0202
 125                     NVRAM_EF_CLASSMARK_RACAP_LID          PACK           LID                                      (null)      0x0000      0x0202
 126                          NVRAM_EF_SIM_ASSERT_LID          PACK           LID                                      (null)      0x0000      0x0300
 127                            NVRAM_EF_RTC_DATA_LID          PACK           LID                                      (null)      0x0000      0x0200
 128                             NVRAM_EF_NET_PAR_LID          MT1A           007                                      (null)      0x0000      0x0000
 171                            NVRAM_EF_CSM_ESSP_LID          PACK           LID                                      (null)      0x0000      0x0200
 138                   NVRAM_EF_CUST_HW_LEVEL_TBL_LID          PACK           LID                                      (null)      0x0000      0x1240
 139                NVRAM_EF_UEM_MANUFACTURE_DATA_LID          PACK           LID                                      (null)      0x0000      0x1200
 140                        NVRAM_EF_UEM_RMI_DATA_LID          PACK           LID                                      (null)      0x0000      0x1200
 141                    NVRAM_EF_GPS_SETTING_DATA_LID          PACK           LID                                      (null)      0x0000      0x0200
 164                         NVRAM_EF_MS_SECURITY_LID          PACK           LID                                      (null)      0x0100      0x0208
 166                        NVRAM_EF_PHB_LN_ENTRY_LID          MT6H           003                                      (null)      0x0000      0x0000
 167                     NVRAM_EF_PHB_LN_TYPE_SEQ_LID          PACK           LID                                      (null)      0x0000      0x0200
 173                     NVRAM_EF_SYS_CACHE_OCTET_LID          PACK           LID                                      (null)      0x0000      0x2201
 177                      NVRAM_EF_RAC_PREFERENCE_LID          PACK           LID                                      (null)      0x0100      0x0280
 168             NVRAM_EF_PS_CONFORMANCE_TESTMODE_LID          PACK           LID                                      (null)      0x0000      0x0200
 180                          NVRAM_EF_TST_CONFIG_LID          PACK           LID                                      (null)      0x0000      0x2200
 187                          NVRAM_EF_AT_PROFILE_LID          PACK           LID                                      (null)      0x0000      0x0200
 188                         NVRAM_EF_USR_PWR_CLS_LID          PACK           LID                                      (null)      0x0000      0x0200
2560                                 NVRAM_EF_ADC_LID          MT1F           000                                      (null)      0x1000      0x0000
2816                     NVRAM_EF_TOUCHPANEL_PARA_LID          PACK           LID                                      (null)      0x0000      0x2200
--------------------------------------------------------------------------------------------
